任务ID,优先级,任务状态,问题类型,供应商SKU,Wayfair Listing,产品名,SKU价值分层,促销准入,触发原因,建议动作,执行前检查,复盘指标,证据来源,证据链接,排序分
TASK-LFC-2W-PRICING-001,P0,待执行,定价,LFC-2W,DMOM1018,宽卡2抽白色,B,暂不促销,不建议提价：6月无成交，仅历史订单支撑；真实订单毛利率一般；历史存在0回款/异常订单；供货价竞争百分位偏高,不要先提Base（供货价竞争分位 0.71 偏高）；本SKU首要瓶颈是供货价（竞争分位 0.71）：优先谈拿货价或降包装/头程成本；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 22.9%→≥16%、Base/前台价 70%→≤72%、真实订单毛利率 21.8%→≥25%、供货价分位 0.71→≤0.70。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,95.0
TASK-MFC-D3-B-PRICING-001,P0,待执行,定价,MFC-D3-B,DMOM1022,3抽鹅颈活动柜黑色,B,禁止促销/先修复,不建议提价：6月成交样本不足；真实订单毛利率一般；历史存在0回款/异常订单；大促2B利润率低于12%；Base/前台价高于72%,不要先提Base（Base/前台价 75% 超 72% 红线）；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 18.3%→≥16%、Base/前台价 75%→≤72%、真实订单毛利率 22.0%→≥25%。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,95.0
TASK-MFC-D3-W-PRICING-001,P0,待执行,定价,MFC-D3-W,DMOM1022,3抽鹅颈活动柜白色,B,禁止促销/先修复,不建议提价：6月无成交，仅历史订单支撑；真实订单毛利率一般；历史存在0回款/异常订单；大促2B利润率低于12%；Base/前台价高于72%,不要先提Base（Base/前台价 74% 超 72% 红线）；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 19.3%→≥16%、Base/前台价 74%→≤72%、真实订单毛利率 19.3%→≥25%。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,95.0
TASK-VF-ZH-4B-PRICING-001,P0,待执行,定价,VF-ZH-4B,DMOM1029,4抽窄卡组合柜-黑,C,禁止促销/先修复,不建议提价：6月无成交，仅历史订单支撑；真实订单毛利率一般；大促2B利润率低于12%；Base/前台价高于72%,不要先提Base（Base/前台价 72% 超 72% 红线）；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；禁止深折扣促销，当前促销利润不够,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 21.7%→≥16%、Base/前台价 72%→≤72%、真实订单毛利率 23.5%→≥25%。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,95.0
TASK-5T-1830-1200-PROMO-001,P0,待执行,促销,5T-1830-1200,DMOM1000,,B,禁止促销/先修复,TAG不足80%,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,92.0
TASK-5T-1980-1200-PROMO-001,P0,待执行,促销,5T-1980-1200,DMOM1000,,A,禁止促销/先修复,TAG不足80%,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,92.0
TASK-5T-dong-183-120-PROMO-001,P0,待执行,促销,5T-dong-183-120,DMOM1015,,C,禁止促销/先修复,卖家历史净毛利率低于15%；TAG不足80%；可售率RED,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,92.0
TASK-6T-2095-122-PROMO-001,P0,待执行,促销,6T-2095-122,DMOM1000,,B,禁止促销/先修复,TAG不足80%；历史深折扣促销未提升,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,92.0
TASK-LFC-2W-680-PROMO-001,P0,待执行,促销,LFC-2W-680,DMOM1021,,A,禁止促销/先修复,可售率RED,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,92.0
TASK-LFC-4B-PROMO-001,P0,待执行,促销,LFC-4B,DMOM1027,,B,禁止促销/先修复,评分低于4.0,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,92.0
